ID,episode
1,16
2,16
3,26
4,16
5,24
6,40
7,41
8,8
9,20
10,8
11,14
12,100
13,120
14,20
15,16
16,58
17,50
18,20
19,50
20,24
21,10
22,16
23,12
24,102
25,48
26,16
27,8
28,135
29,20
30,50
31,0
32,16
33,20
34,16
35,16
36,16
37,16
38,7
39,140
40,5
41,16
42,158
43,16
44,20
45,16
46,54
47,16
48,24
49,12
50,16
51,9
52,120
53,16
54,13
55,20
56,140
57,32
58,103
59,16
60,6
61,18
62,6
63,149
64,24
65,20
66,36
67,8
68,6
69,20
70,0
71,16
72,20
73,16
74,12
75,16
76,12
77,16
78,16
79,20
80,4
81,24
82,16
83,12
84,11
85,11
86,16
87,18
88,32
89,50
90,140
91,55
92,68
93,1
94,18
95,16
96,120
97,6
98,163
99,16
100,12
101,149
102,20
103,100
104,16
105,16
106,4
107,12
108,20
109,16
110,12
111,16
112,16
113,16
114,32
115,16
116,16
117,26
118,24
119,21
120,8
121,170
122,18
123,16
124,6
125,20
126,18
127,121
128,16
129,20
130,50
131,16
132,0
133,50
134,53
135,16
136,22
137,32
138,20
139,25
140,20
141,120
142,120
143,57
144,28
145,16
146,112
147,122
148,122
149,16
150,16
151,120
152,16
153,12
154,18
155,16
156,20
157,20
158,18
159,111
160,16
161,16
162,16
163,16
164,16
165,16
166,124
167,16
168,16
169,119
170,10
171,16
172,10
173,16
174,32
175,32
176,16
177,8
178,6
179,16
180,111
181,16
182,12
183,20
184,16
185,16
186,16
187,16
188,17
189,12
190,8
191,5
192,32
193,16
194,16
195,6
196,8
197,16
198,16
199,16
200,16
201,20
202,16
203,16
204,16
205,16
206,6
207,16
208,16
209,134
210,50
211,22
212,16
213,14
214,124
215,18
216,12
217,16
218,85
219,16
220,10
221,12
222,24
223,65
224,20
225,16
226,8
227,16
228,16
229,16
230,24
231,16
232,44
233,40
234,32
235,16
236,32
237,18
238,16
239,16
240,32
241,32
242,16
243,32
244,20
245,20
246,132
247,24
248,98
249,20
250,16
251,8
252,20
253,16
254,16
255,70
256,16
257,6
258,10
259,9
260,22
261,16
262,12
263,20
264,16
265,20
266,16
267,10
268,21
269,51
270,24
271,51
272,124
273,120
274,16
275,37
276,20
277,123
278,18
279,16
280,26
281,16
282,16
283,132
284,16
285,10
286,16
287,32
288,12
289,36
290,24
291,6
292,16
293,120
294,103
295,54
296,16
297,28
298,20
299,104
300,40
301,50
302,2
303,32
304,32
305,16
306,32
307,32
308,57
309,6
310,104
311,54
312,30
313,16
314,16
315,12
316,16
317,50
318,120
319,51
320,16
321,16
322,32
323,36
324,49
325,20
326,5
327,16
328,16
329,32
330,16
331,123
332,20
333,16
334,1
335,16
336,8
337,50
338,51
339,122
340,40
341,10
342,24
343,44
344,24
345,4
346,56
347,32
348,36
349,16
350,20
351,100
352,30
353,64
354,20
355,133
356,122
357,41
358,16
359,23
360,16
