ID,episode
747,72
748,10
749,23
750,40
751,20
752,9
753,120
754,12
755,20
756,16
757,48
758,55
759,16
760,16
761,16
762,16
763,16
764,16
765,16
766,40
767,18
768,58
769,21
770,16
771,16
772,100
773,2
774,16
775,8
776,8
777,32
778,10
779,16
780,16
781,20
782,122
783,123
784,127
785,16
786,12
787,16
788,20
789,61
790,16
791,8
792,20
793,16
794,32
795,47
796,12
797,32
798,4
799,20
800,26
801,120
802,16
803,16
804,149
805,20
806,14
807,16
808,10
809,14
810,16
811,12
812,16
813,16
814,120
815,50
816,68
817,21
818,16
819,17
820,150
821,0
822,16
823,16
824,18
825,16
826,19
827,125
828,124
829,0
830,16
831,20
832,16
833,16
834,16
835,12
836,16
837,16
838,16
839,16
840,16
841,100
842,16
843,8
844,14
845,10
846,20
847,20
848,21
849,16
850,10
851,24
852,34
853,40
854,119
855,16
856,50
857,16
858,20
859,32
860,20
861,16
862,16
863,16
864,20
865,20
866,40
867,16
868,16
869,12
870,52
871,16
872,93
873,5
874,16
875,20
876,16
877,123
878,124
879,20
880,28
881,10
882,23
883,24
884,16
885,16
886,123
887,20
888,54
889,16
890,16
891,16
892,16
893,16
894,14
895,10
896,16
897,16
898,20
899,18
900,16
901,32
902,24
903,20
904,10
905,32
906,16
907,122
908,104
909,16
910,8
911,71
912,50
913,4
914,16
915,16
916,24
917,122
918,16
919,4
920,40
921,16
922,16
923,16
924,61
925,16
926,155
927,16
928,50
929,16
930,20
931,16
932,50
933,16
934,16
935,16
936,12
937,12
938,8
939,16
940,16
941,16
942,0
943,0
944,16
945,12
946,32
947,4
948,9
949,32
950,50
951,12
952,16
953,20
954,32
955,16
956,18
957,16
958,9
959,18
960,113
961,16
962,16
963,16
964,2
965,21
966,50
967,32
968,124
969,16
970,16
971,16
972,16
973,16
974,121
975,16
976,16
977,18
978,40
979,16
980,26
981,124
982,10
983,129
984,12
985,22
986,32
987,20
988,16
989,16
990,32
991,20
992,200
993,20
994,16
995,16
996,39
997,16
998,21
999,12
1000,25
1001,159
1002,16
1003,40
1004,20
1005,129
1006,32
1007,20
1008,16
1009,16
1010,6
1011,122
1012,32
1013,16
1014,115
1015,20
1016,16
1017,16
1018,479
1019,12
1020,16
1021,94
1022,12
1023,16
1024,20
1025,54
1026,40
1027,16
1028,12
1029,20
1030,40
1031,12
1032,20
1033,32
1034,54
1035,32
1036,16
1037,16
1038,86
1039,30
1040,35
1041,12
1042,16
1043,16
1044,16
1045,32
1046,16
1047,20
1048,6
1049,10
1050,24
1051,20
1052,50
1053,16
1054,8
1055,20
1056,63
1057,186
1058,40
1059,27
1060,18
1061,12
1062,32
1063,16
1064,20
1065,108
1066,50
1067,23
1068,20
1069,52
1070,16
1071,16
1072,20
1073,16
1074,16
1075,12
1076,12
1077,16
1078,20
1079,90
1080,41
1081,12
1082,18
1083,4
1084,15
1085,8
1086,114
1087,16
1088,12
1089,21
1090,12
1091,24
1092,12
1093,102
1094,16
1095,16
1096,30
1097,17
1098,16
1099,125
1100,100
1101,120
1102,12
1103,24
1104,14
1105,36
1106,20
1107,6
1108,150
1109,120
1110,32
1111,20
1112,18
1113,100
1114,8
1115,16
1116,6
1117,20
1118,16
1119,20
1120,32
1121,16
1122,20
1123,12
1124,16
1125,16
1126,32
1127,12
1128,12
1129,16
1130,12
1131,10
1132,16
1133,16
1134,8
1135,16
1136,16
1137,12
1138,16
1139,10
1140,21
1141,21
1142,21
1143,21
1144,16
1145,58
1146,123
1147,40
1148,12
1149,12
1150,16
1151,16
1152,16
1153,52
1154,4
1155,16
1156,5
1157,16
1158,16
1159,11
1160,16
1161,16
1162,8
1163,12
1164,7
1165,26
1166,17
1167,16
1168,16
1169,12
1170,16
1171,12
1172,32
1173,102
1174,16
1175,120
1176,119
1177,133
1178,20
1179,123
1180,16
1181,20
1182,16
1183,24
1184,102
1185,140
1186,8
1187,16
1188,16
1189,79
1190,12
1191,20
1192,32
1193,16
1194,16
1195,50
1196,124
1197,16
1198,20
1199,16
1200,29
1201,16
1202,16
1203,16
1204,10
1205,12
1206,18
1207,15
1208,16
1209,20
1210,32
1211,106
1212,20
1213,16
1214,12
1215,52
1216,53
1217,106
1218,20
1219,16
1220,16
1221,20
1222,32
1223,16
1224,40
1225,16
1226,16
1227,65
1228,32
1229,8
1230,16
1231,120
1232,17
1233,20
1234,16
1235,16
1236,116
1237,16
1238,16
1239,12
1240,38
1241,32
1242,52
1243,16
1244,20
1245,50
1246,48
1247,14
1248,12
1249,16
1250,120
1251,20
1252,10
1253,100
1254,12
1255,8
1256,18
1257,58
1258,111
1259,20
1260,16
1261,50
1262,108
1263,120
1264,50
1265,109
1266,13
1267,20
1268,16
1269,121
1270,52
1271,32
1272,32
1273,120
1274,22
1275,0
1276,12
1277,14
1278,24
