ID,kdrama_name,actor,genre,platform,tags,network,episode
152,Bulgasal: Immortal Souls,"['Lee Jin Wook', ' Kwon Na Ra', ' Lee Joon', ' Gong Seung Yeon', ' Jung Jin Young', ' Kim Woo Seok']","['thriller', ' mystery', ' drama', ' fantasy']","['TVING', ' Netflix']","['curse', ' reincarnation', ' revenge', ' immortal', ' hidden identity', ' found family', ' suspense', ' dark fiction', ' grudge', ' death ']","['Netflix', ' tvN']",16
153,Business Proposal,"['Ahn Hyo Seop', ' Kim Se Jeong', ' Kim Min Gue', ' Seol In Ah', ' Lee Deok Hwa', ' Choi Byung Chan']","['comedy', ' romance', ' drama']",['Netflix'],"['bossemployee relationship', ' secondary couple', ' cheerful female lead', ' fake identity', ' blind date', ' contract relationship', ' sismance', ' double identity', ' company president ceo male lead', ' rich male lead ']","['Netflix', ' SBS']",12
154,Café Minamdang,"['Seo In Guk', ' Oh Yeon Seo', ' Kwak Shi Yang', ' Kang Mi Na', ' Won Hyun Joon', ' Baek Seo Hoo']","['mystery', ' comedy']",['Netflix'],"['adapted from a web novel', ' eccentric female lead', ' fraud', ' investigation', ' prosecutor supporting character', ' former detective supporting character', ' police inspector supporting character', ' police inspector female lead', ' barista supporting character', ' chief of police supporting character ']","['KBS', ' Netflix']",18
155,Call My Agent!,"['Lee Seo Jin', ' Kwak Sun Young', ' Seo Hyun Woo', ' Joo Hyun Young', ' Shin Hyun Seung']","['comedy', ' romance', ' drama']",['N/A'],"['nonmdl remake', ' workplace setting', ' workaholic female lead', ' office worker female lead', ' office worker male lead', ' talent agent female lead', ' talent agent male lead', ' team leader female lead', ' team leader male lead', ' hottempered female lead ']","['Netflix', ' tvN']",16
156,"Can We Fall in Love, Again?","['Eugene', ' Uhm Tae Woong', ' Kim Yoo Mi', ' Choi Jung Yoon', ' Kim Sung Soo', ' Park Min Woo']","['romance', ' drama', ' family']",['Viki'],"['school friends relationship', ' nice exhusband', ' first love returns', ' divorced female lead', ' carreer female lead', ' damsel in distress', ' evil motherinlaw', ' multiple mains', ' teenage pregnancy', ' motherson relationship ']",['jTBC'],20
157,Can We Get Married?,"['Jung So Min', ' Sung Joon', ' Hwang Jae Won', ' Lee Mi Sook', ' Han Groo', ' Kim Young Kwang']","['romance', ' life', ' drama', ' family']","['Apple TV', ' Viki']","['bickering couple', ' family pressure', ' marriage', ' secondary couple', ' steamy kiss', ' motherdaughter relationship', ' sexual content', ' multiple couples', ' lovehate relationship', ' unrequited love ']",['jTBC'],20
158,Can't Lose,"['Yoon Sang Hyun', ' Choi Ji Woo', ' Uhm Ki Joon', ' Kim Jin Woo', ' Ga Deuk Hee', ' Park Won Sook']","['comedy', ' law', ' romance', ' life']",['N/A'],"['lovers to enemies', ' married couple', ' divorce', ' lovehate relationship ']",['MBC'],18
159,Can't Stand Anymore,"['Lee Young Eun', ' Kim Jin Woo', ' Sun Woo Yong Nyeo', ' Baek Il Sub', ' Min Ji Young', ' Ahn Yun Hong']","['romance', ' drama', ' family']",['N/A'],[nan],['jTBC'],111
160,Capital Scandal,"['Ryu Jin', ' Han Go Eun', ' Kang Ji Hwan', ' Han Ji Min', ' Uhm Hyun Kyung', ' Lee Kyung Jin']","['historical', ' comedy', ' romance', ' drama']","['KBS World', ' Viki']","['japanese colonial rule', ' s', ' friendship', ' strong female lead', ' motherdaughter relationship', ' historical fiction ']",['KBS'],16
161,Casino,"['Choi Min Shik', ' Son Seok Koo', ' Lee Dong Hwi', ' Ryu Hyun Kyung', ' Heo Sung Tae', ' Kim Joo Ryoung']","['action', ' crime', ' drama']",['N/A'],[nan],[nan],16
162,Catch the Ghost,"['Moon Geun Young', ' Kim Seon Ho', ' Jung Eugene', ' Ki Do Hoon', ' Jo Jae Yoon', ' Ahn Seung Gyun']","['thriller', ' mystery', ' comedy', ' romance']",['N/A'],"['impulsive female lead', ' teamwork', ' nice male lead', ' strong female lead', ' strong male lead', ' smart female lead', ' character development', ' lovehate relationship', ' autism', ' bossemployee relationship ']",['tvN'],16
163,Cheat on Me If You Can,"['Cho Yeo Jung', ' Go Jun', ' Yeonwoo', ' Kim Young Dae', ' Song Ok Sook', ' Jung Sang Hoon']","['thriller', ' mystery', ' comedy', ' romance']","['Apple TV', ' Viki']","['marriage', ' eccentric female lead', ' infidelity', ' successful male lead', ' older womanyounger man', ' investigation', ' successful female lead', ' student', ' tv host supporting character', ' police department setting ']",['KBS'],16
164,Cheer Up,"['Han Ji Hyun', ' Bae In Hyuk', ' Lee Eun Saem', ' Kim Hyun Jin', ' Jang Gyu Ri', ' Yang Dong Geun']","['mystery', ' comedy', ' romance', ' youth']",['N/A'],"['campus setting', ' cheerful female lead', ' diligent female lead', ' bright female lead', ' university', ' poor female lead', ' student', ' character development', ' investigation', ' school ']",['SBS'],16
165,Cheer Up!,"['Han Ji Hyun', ' Bae In Hyuk', ' Lee Eun Saem', ' Kim Hyun Jin', ' Jang Gyu Ri', ' Yang Dong Geun']","['mystery', ' comedy', ' romance', ' youth']",['N/A'],"['campus setting', ' cheerful female lead', ' diligent female lead', ' bright female lead', ' university', ' poor female lead', ' student', ' character development', ' investigation', ' school ']",['SBS'],16
166,"Cheer Up, Mr. Kim!","['Kim Dong Wan', ' Wang Ji Hye', ' Yang Jin Woo', ' Choi Jung Yoon', ' Kim Duk Hyun', ' Kim Soo Yeon']",['drama'],['KBS World'],"['single father', ' housekeeper', ' family relationship', ' adoption', ' rich womanpoor man', ' north korean ']",['KBS'],124
167,Cheese in the Trap,"['Kim Go Eun', ' Park Hae Jin', ' Seo Kang Joon', ' Lee Sung Kyung', ' Nam Joo Hyuk', ' Park Min Ji']","['psychological', ' romance', ' life', ' drama']","['KDRAMA', ' Apple TV', ' Viki', ' WeTV']","['adapted from a webtoon', ' rich male lead', ' stalking', ' possessive male lead', ' love triangle', ' male chases female first', ' university', ' rich manpoor woman', ' hardworking female lead', ' smart female lead ']",['tvN'],16
168,Cheongdam-dong Alice,"['Moon Geun Young', ' Park Shi Hoo', ' So Yi Hyun', ' Kim Ji Suk', ' Kim Seung Soo', ' Kim Yoo Ri']","['comedy', ' romance', ' drama', ' melodrama']","['SBS World', ' Viki']","['rivalry', ' eccentric male lead', ' fashion industry', ' lying', ' rags to riches', ' rich manpoor woman', ' marriage ']",['SBS'],16
169,Cheongdam-dong Scandal,"['Lee Joong Moon', ' Kang Tae Sung', ' Im Sung Eon', ' Choi Jung Yoon', ' Seo Eun Chae', ' Yoo Ji In']","['mystery', ' romance', ' drama', ' melodrama']",['N/A'],"['businessman', ' scandal', ' conglomerate', ' business rivalry', ' scheme', ' soap opera', ' deception', ' jealousy', ' lying', ' kidnapping ']",['SBS'],119
170,Cheo Yong,"['Oh Ji Ho', ' Oh Ji Eun', ' Jeon Hyo Sung', ' Yoo Seung Mok', ' Yeon Je Wook', ' Yoo Min Kyu']","['mystery', ' drama', ' supernatural']",['N/A'],"['ghostseeing male lead', ' ghost', ' investigation', ' spirit possession', ' death', ' murder', ' attempted murder', ' attempted suicide', ' revenge', ' attempted assault ']",['OCN'],10
171,Chicago Typewriter,"['Yoo Ah In', ' Im Soo Jung', ' Go Kyung Pyo', ' Kwak Shi Yang', ' Jo  Woo Jin', ' Oh Na Ra']","['comedy', ' romance', ' supernatural', ' political']","['Viki', ' WeTV', ' KDRAMA', ' Apple TV']","['reincarnation', ' hardworking male lead', ' hardworking female lead', ' strong female lead', ' successful male lead', ' bromance', ' flashback to past', ' tragic past', ' character development', ' patriotism ']",['tvN'],16
172,Chief of Staff,"['Lee Jung Jae', ' Shin Min Ah', ' Kim Gab Soo', ' Lee Elijah', ' Kim Dong Jun', ' Jung Jin Young']","['law', ' drama', ' political']",['Netflix'],"['corruption', ' workplace setting', ' death of a mother', ' assemblyman male lead', ' lawyer female lead', ' competent female lead', ' elections', ' lawmaker', ' national assembly', ' workplace romance ']","['jTBC', ' Netflix']",10
173,Children of a Lesser God,"['Kang Ji Hwan', ' Kim Ok Bin', ' Shim Hee Sub', ' Lee Elijah', ' Han Seo Jin', ' Lee Jae Yong']","['thriller', ' mystery', ' supernatural']",['KDRAMA'],"['detective male lead', ' future seeing female lead', ' smart male lead', ' ghostseeing female lead', ' murder', ' cult', ' investigation', ' suspense', ' corruption', ' suicide ']",['OCN'],16
174,Children of Nobody,"['Kim Sun Ah', ' Lee Yi Kyung', ' Nam Gyu Ri', ' Cha Hak Yeon', ' Joo Seok Tae', ' Na Young Hee']","['thriller', ' mystery', ' psychological', ' drama']",['Viki'],"['trauma', ' child behavior issues', ' child abuse', ' smart female lead', ' murder', ' tragic past', ' psychiatry', ' child abandonment', ' domestic violence', ' strong female lead ']",['MBC'],32
175,Children of the 20th Century,"['Han Ye Seul', ' Kim Ji Suk', ' Lee Sang Woo', ' Ryu Hyun Kyung', ' Lee Sang Hee', ' Ahn Se Ha']","['comedy', ' romance', ' life']",['Viki'],"['friends to lovers', ' sismance', ' first love', ' love triangle', ' multiple couples', ' calm male lead', ' bromance', ' flashback to past', ' former idol', ' rich female lead ']",['MBC'],32
176,Chimera,"['Park Hae Soo', ' Kim Su Hyun', ' Lee Hee Joon', ' Cha Joo Young', ' Nam Ki Ae', ' Heo Jun Seok']","['thriller', ' mystery']","['TVING', ' Viki']","['investigation', ' suspense', ' death', ' murder', ' doctor male lead', ' detective male lead', ' smart female lead', ' bromance', ' police department setting', ' neurosurgeon male lead ']",['OCN'],16
177,Chip In,"['Kim Hye Joon', ' Kim Jung Young', ' Oh Na Ra', ' Nam Moon Chul', ' Choi Kyu Jin', ' Kim Shi Eun']","['thriller', ' mystery', ' comedy', ' melodrama']",['Viki'],"['death', ' strong female lead', ' black comedy', ' infidelity', ' motherdaughter relationship', ' investigation', ' suspense', ' drama', ' family', ' mistress female lead ']",['MBC'],8
178,Choco Bank,"['Kai', ' Park Eun Bin', ' Yun  Joon Suk', ' Lee Il Hwa', ' Park Seo Yeon', ' Kim Young Hee']","['business', ' comedy', ' romance', ' drama']",['Viki'],"['bossemployee relationship', ' miniseries', ' web series', ' love triangle', ' workplace setting', ' caf setting', ' short length series', ' inner monologue', ' chocolatier', ' tragic past ']",['Naver TV Cast'],6
179,Chocolate,"['Yoon Kye Sang', ' Ha Ji Won', ' Jang Seung Jo', ' Min Jin Woong', ' Kang Boo Ja', ' Lee Jae Ryong']","['romance', ' life', ' medical', ' melodrama']",['Netflix'],"['hospice care', ' cooking', ' healing', ' slow burn romance', ' tragic past', ' trauma', ' nice male lead', ' first love', ' compassionate female lead', ' death ']","['jTBC', ' Netflix']",16
180,Chunja's Special Day,"['Seo Ji Hye', ' Wang Bit Na', ' Joo Sang Wook', ' Go Doo Shim', ' Heo Jung Min', ' Im Hyun Shik']","['romance', ' family']",['N/A'],[nan],[nan],111
181,Cinderella with Four Knights,"['Park So Dam', ' Jung Il Woo', ' Ahn Jae Hyun', ' Lee Jung Shin', ' Choi Min', ' Son Na Eun']","['comedy', ' romance', ' drama']","['Apple TV', ' Tubi', ' Viki', ' Netflix']","['cohabitation', ' hardworking female lead', ' reverseharem', ' rich male lead', ' rich manpoor woman', ' cold manwarm woman', ' multiple mains', ' strong female lead', ' forbidden love', ' first love ']",['tvN'],16
182,Circle,"['Yeo Jin Goo', ' Kim Kang Woo', ' Gong Seung Yeon', ' Lee Gi Kwang', ' Ahn Woo Yeon', ' Seo Hyun Chul']","['thriller', ' mystery', ' scifi']",['N/A'],"['future', ' alien', ' bromance', ' strong female lead', ' smart female lead', ' calm female lead', ' smart male lead', ' kidnapping', ' character development', ' human experimentation ']",['tvN'],12
183,City Hunter,"['Lee Min Ho', ' Park Min Young', ' Lee Joon Hyuk', ' Kim Sang Joong', ' Hwang Sun Hee', ' Kim Mi Sook']","['action', ' thriller', ' crime']",['Apple TV'],"['strong male lead', ' hidden identity', ' revenge', ' corruption', ' vigilante', ' adapted from a manga', ' strong female lead', ' smart male lead', ' romance', ' death ']",['SBS'],20
184,City of the Sun,"['Kim Joon', ' Jung Min', ' Song Min Jung', ' Kim Sung Kyung', ' Jung Joo Yeon', ' Im Dae Ho']","['mystery', ' law', ' drama', ' melodrama']",['N/A'],"['adapted from a novel', ' corruption', ' investigation ']",['MBC Dramanet'],16
185,Class of Lies,"['Yoon Kyun Sang', ' Geum Sae Rok', ' Lee Jun Young', ' Choi Yoo Hwa', ' Choi Kyu Jin', ' Han So Eun']","['thriller', ' mystery', ' law', ' youth']",['Viki'],"['murder', ' investigation', ' hidden identity', ' death', ' high school', ' lying', ' jealousy', ' multiple mains', ' rich male lead', ' suspense ']",['OCN'],16
186,Clean with Passion for Now,"['Yoon Kyun Sang', ' Kim Yoo Jung', ' Song Jae Rim', ' Go Geon Han', ' Yoo  Sun', ' Kim Won Hae']","['business', ' comedy', ' romance', ' drama']","['Apple TV', ' iflix', ' Viki', ' WeTV', ' Netflix']","['bossemployee relationship', ' phobia', ' eccentric male lead', ' healing', ' mysophobia', ' obsessivecompulsive disorder', ' adapted from a webtoon', ' height difference', ' rich manpoor woman', ' older manyounger woman ']",['jTBC'],16
187,Cleaning Up,"['Yeom Jung Ah', ' Jeon So Min', ' Lee Moo Saeng', ' Kim Jae Hwa', ' Na In Woo', ' Kim Na Yoon']","['comedy', ' crime', ' drama']",['N/A'],"['coworkers relationship', ' nonmdl remake', ' broker male lead', ' public officer supporting character', ' exspouse relationship', ' manager supporting character', ' female centered plot', ' loan shark supporting character', ' janitor supporting character', ' janitor female lead ']",['jTBC'],16
188,Coffee Prince,"['Gong Yoo', ' Yoon Eun Hye', ' Lee Sun Kyun', ' Chae Jung An', ' Kim Chang Wan', ' Kim Dong Wook']","['food', ' comedy', ' romance', ' drama']","['Apple TV', ' Viki']","['crossdressing', ' hidden identity', ' bossemployee relationship', ' hardworking female lead', ' strong female lead', ' bromance', ' eccentric female lead', ' love square', ' gender bender', ' family pressure ']",['MBC'],17
189,"Coffee, Do Me a Favor","['Kim Min Young', ' Yong Jun Hyung', ' Chae Seo Jin', ' Lee Tae Ri', ' Gil Eun Hye', ' Ryu Hye Rin']","['comedy', ' romance', ' fantasy']",['Viki'],"['webtoon artist male lead', ' webtoon artist female lead', ' secret', ' hidden identity', ' body transformation', ' magic', ' nice female lead', ' bossemployee relationship', ' first love', ' best friends relationship ']","['Channel A', ' Viki']",12
190,Color Rush,"['Yoo Jun', ' Hur Hyun Jun', ' Yeon Min Ji', ' Baek Seo Hoo', ' Min Hyo Gi']","['mystery', ' romance', ' drama', ' supernatural']","['Apple TV', ' Viki']","['obsessive male lead', ' soulmates', ' lgbtq', ' obsession', ' high school', ' student', ' web series', ' auntnephew relationship', ' psychological', ' missing person ']","['LINE TV', ' Viki', ' ViuTV']",8
191,Coma,"['Im Won Hee', ' Lee Se Eun', ' Lee Young Jin', ' Lee Jung Hun', ' Myung Ji Yun', ' Jung Jae Jin']","['thriller', ' horror', ' supernatural']",['N/A'],"['ghost', ' hospital setting', ' doctor male lead', ' dark fiction', ' sisters relationship', ' flashback to past', ' secret', ' omnibus', ' miniseries', ' episodic format ']",['OCN'],5
192,Come and Hug Me,"['Jang Ki Yong', ' Jin Ki Joo', ' Heo Joon Ho', ' Yoon Jong Hoon', ' Kim Kyung Nam', ' Seo Jung Yeon']","['thriller', ' mystery', ' romance', ' melodrama']",['Viki'],"['evil parental figure', ' trauma', ' nice male lead', ' healing', ' first love', ' violence', ' strong female lead', ' successful female lead', ' calm male lead', ' murder ']",['MBC'],32
