kdrama_name,Episodes,ID
Don't Look Back: The Legend of Orpheus,20,249
Doom at Your Service,16,250
White Christmas,8,251
Dream,20,252
Dream High,16,253
Dream High 2,16,254
Dream of the Emperor,70,255
Drinking Solo,16,256
Dr. Brain,6,257
Dr. Frost,10,258
Dr. Ian,9,259
Dr. Jin,22,260
Dr. Kkang,16,261
Dr. Park's Clinic,12,262
Dr. Romantic,20,263
Duel,16,264
Dummy Mommy,20,265
Eccentric! Chef Moon,16,266
"Eight Days, Assassination Attempts against King Jeongjo",10,267
Emergency Couple,21,268
Emperor of the Sea,51,269
Empire of Gold,24,270
Empress Ki,51,271
Empress Myeongseong,124,272
Enchanting Neighbor,120,273
Encounter,16,274
Endless Love,37,275
Summer Scent,20,276
Enemies from the Past,123,277
Entertainer,18,278
Entourage,16,279
Erexion,26,280
Eve,16,281
Evergreen,16,282
Everybody Say Kimchi,132,283
Exo Next Door,16,284
Extracurricular,10,285
Extraordinary Attorney Woo,16,286
Extraordinary You,32,287
Ex-Girlfriends' Club,12,288
Eyes of Dawn,36,289
Faith,24,290
Falling for Challenge,6,291
Familiar Wife,16,292
Family,120,293
Family Secret,103,294
Family's Honor,54,295
Fantastic,16,296
Fashion 70s,28,297
Fashion King,20,298
Fatal Promise,104,299
Fates & Furies,40,300
"Father, I'll Take Care of You",50,301
Father's House,2,302
Feast of the Gods,32,303
Feel Good to Die,32,304
Fight for My Way,16,305
Find Me in Your Memory,32,306
Fireworks,32,307
First Love,57,308
First Love Again,6,309
First Wives' Club,104,310
Five Enough,54,311
Five Fingers,30,312
Flower Band,16,313
Flower Crew: Joseon Marriage Agency,16,314
Flower Grandpa Investigation Unit,12,315
Flower of Evil,16,316
Flower of Queen,50,317
Flower of Revenge,120,318
Flowers of the Prison,51,319
Fly High Butterfly,16,320
Forecasting Love and Weather,16,321
Forest,32,322
Forever Young,36,323
Foundation of the Kingdom,49,324
Four Sisters,20,325
"Freedom Fighter, Lee Hoe-young",5,326
Freeze,16,327
"From Now On, Showtime!",16,328
Full House Take 2,32,329
Gangnam Beauty,16,330
Gangnam Scandal,123,331
Gap-dong,20,332
Get Revenge,16,333
Get Up,1,334
Ghost Doctor,16,335
Girls' Generation 1979,8,336
Glamorous Temptation,50,337
Glass Castle,51,338
Glass Mask,122,339
Glass Slippers,40,340
Glitch,10,341
Gloria,24,342
Glorious Day,44,343
Glory Jane,24,344
Go Back,4,345
God of War,56,346
Goddess of Fire,32,347
Goddess of Marriage,36,348
God's Gift: 14 Days,16,349
"Gogh, The Starry Night",20,350
Gold Mask,100,351
Golden Apple,30,352
Golden Bride,64,353
Golden Cross,20,354
Golden Fish,133,355
Golden Pouch,122,356
Golden Rainbow,41,357
Golden Spoon,16,358
Golden Time,23,359
Good Casting,16,360
Good Doctor,20,361
"Good Job, Good Job",40,362
Good Manager,20,363
Goodbye Dear Wife,20,364
Goodbye Mr. Black,20,365
Goodbye My Love,16,366
Goodbye Solo,16,367
Goodbye to Goodbye,40,368
Graceful Family,16,369
Graceful Friends,17,370
Gracious Revenge,103,371
Grand Prince,20,372
Green Mothers' Club,16,373
Grid,10,374
Gu Family Book,24,375
Guardian Angel,16,376
Guardian: The Lonely and Great God,16,377
Gunman in Joseon,22,378
"Gwanggaeto, The Great Conqueror",92,379
Gyebaek,36,380
Haechi,48,381
Happiness,12,382
Happy Ending,3,383
Happy Home,51,384
Happy Sisters,120,385
Happy Together,16,386
He Is Psychometric,16,387
Healer,20,388
Heard It Through the Grapevine,30,389
Heart Surgeons,32,390
Heart to Heart,16,391
Heartless City,20,392
Heartstrings,15,393
Hell Is Other People,10,394
Hellbound,6,395
Hello Franceska,12,396
Hello Monster,16,397
"Hello, Me!",16,398
"Hello, My Twenties!",12,399
Her Private Life,16,400
Here Comes Mr. Oh,129,401
Here's My Plan,4,402
Hero,9,403
"Hi Bye, Mama!",16,404
Hi! School: Love On,20,405
Hidden Identity,16,406
Hide and Seek,48,407
High Class,16,408
High End Crush,20,409
High Kick!,167,410
High Kick: Revenge of the Short Legged,123,411
High School King of Savvy,17,412
High Society,16,413
History of a Salaryman,12,414
Hit the Top,32,415
Hogu's Love,16,416
Hold Me Tight,32,417
Hold My Hand,130,418
Home for Summer,128,419
Homemade Love Story,100,420
Hometown,12,421
Hometown Cha-Cha-Cha,16,422
Hong Kong Express,16,423
Hospital Playlist,12,424
Hospital Ship,40,425
Hot Stove League,16,426
Hotel del Luna,16,427
Hotel King,32,428
Hotelier,20,429
House of Bluebird,50,430
How Are U Bread,5,431
How Long I've Kissed,16,432
How to Be Thirty,15,433
How to Buy a Friend,8,434
How to Meet a Perfect Neighbor,20,435
How Should I Be,41,436
Hur Jun,64,437
"Hur Jun, The Original Story",135,438
Hush,16,439
Hwarang: The Poet Warrior Youth,20,440
"Hyde Jekyll, Me",20,441
Hyena,16,442
I Can Hear Your Voice,18,443
"I Do, I Do",16,444
I Have a Lover,50,445
I Like You,156,446
I Love Lee Taly,16,447
I Need Romance,16,448
I Need Romance 2012,16,449
I Need Romance 3,16,450
I Order You,16,451
I Picked Up a Celebrity on the Street,10,452
I Wanna Hear Your Song,32,453
I'm After You,16,454
I'm Not a Robot,32,455
"I'm Sorry, But I Love You",16,456
"I'm Sorry, I Love You",16,457
Ice Adonis,108,458
Idol Drama Operation Team,8,459
Idol: The Coup,12,460
If Tomorrow Comes,51,461
If You Wish Upon Me,16,462
Iljimae,8,463
Imaginary Cat,8,464
Imitation,12,465
Immortal Admiral Yi Sun-sin,104,466
In-soon Is Pretty,16,467
Incarnation of Money,24,468
Innocent Defendant,18,469
Insider,16,470
Inspector Koo,12,471
Inspiring Generation,24,472
"Insu, the Queen Mother",60,473
Into the Flames,20,474
Introverted Boss,16,475
Ireland,16,476
Iris,20,477
Iris II: New Generation,20,478
Island,20,479
Itaewon Class,16,480
Item,32,481
It's Beautiful Now,50,482
It's My Life,124,483
It's Okay to Not Be Okay,16,484
"It's Okay, That's Love",16,485
Jang Bo-ri Is Here!,52,486
"Jang Ok-jung, Living by Love",52,487
Jeong Do-jeon,50,488
Ji Woon-soo's Stroke of Luck,20,489
Jinxed at First,16,490
Jirisan,16,491
Jolly Widows,155,492
Joseon Exorcist,2,493
Joseon Survival Period,16,494
JTBC Drama Festa,16,495
Judge vs. Judge,32,496
Jugglers,16,497
Jump,164,498
Jungle Fish,1,499
Just Dance,16,500
Justice,32,501
Juvenile Justice,10,502
Kairos,16,503
My Prettiest Moments,32,504
A Sea of Her Own,120,505
Dal Soon's Spring,129,506
Dear My Sister,130,507
Eunhui,140,508
In Still Green Days,129,509
Land of Gold,163,510
My Mind's Flower Rain,128,511
Samsaengi,120,512
Single-minded Dandelion,134,513
Sunok,150,514
That Sun in the Sky,121,515
The Stars Are Shining,128,516
Kill Heel,14,517
Kill It,12,518
"Kill Me, Heal Me",20,519
Kim Is a Genius,10,520
Kimchi Cheese Smile,121,521
Kimchi Family,24,522
King of Ambition,24,523
Kingdom,6,524
Kingmaker: The Change of Destiny,21,525
Kiss Sixth Sense,12,526
Kkondae Intern,24,527
Korean Peninsula,18,528
L.U.C.A.: The Beginning,12,529
Lady Cha Dal-rae's Lover,100,530
Land of Wine,16,531
Last,16,532
Late Night Restaurant,20,533
Law School,16,534
Lawless Lawyer,16,535
Lawyers,16,536
Left-Handed Wife,103,537
Legal High,16,538
Legend of Hyang Dan,2,539
Less Than Evil,32,540
Let Me Be Your Knight,12,541
Let Me Introduce Her,40,542
Let's Eat,16,543
Let's Eat 2,18,544
Let's Eat 3,14,545
Level Up,12,546
Leverage,16,547
Liar Game,12,548
Lie After Lie,16,549
Lie to Me,16,550
Life,16,551
Life Is Beautiful,16,552
Life on Mars,16,553
Lights and Shadows,64,554
Light on Me,16,555
Likeable or Not,172,556
"Link: Eat, Love, Kill",16,557
Listen to Love,12,558
Listen to My Heart,30,559
